Model,Category,Part Number
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-130J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-130J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-131J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-131J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-132J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-132J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-133J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-133J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-134J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-134J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-150J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-150J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-151J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-151J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-152J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-152J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-153J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-153J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-154J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-154J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-160J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-160J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-161J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-161J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-162J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-162J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-163J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-163J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-164J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-164J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-180J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-180J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-181J2LF
