Model,Category,Part Number
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N4R30J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N4R30JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N4R70F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N4R70FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N4R70J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N4R70JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N51R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N51R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N51R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N51R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N56R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N56R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N56R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N56R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R10F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R10FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R10J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R10JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R60F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R60FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R60J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N5R60JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N62R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N62R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N62R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N62R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N68R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N68R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N68R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N68R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N6R20F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N6R20FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N6R20J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N6R20JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N75R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N75R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N75R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N75R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N7R50F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N7R50FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N7R50J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N7R50JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N82R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N82R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N82R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N82R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N8R20F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N8R20FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N8R20J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N8R20JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N91R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N91R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N91R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N91R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N9R10F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N9R10FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N9R10J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N9R10JE
